,year,month,day,RMM1,RMM2,phase,amplitude
2012-10-22,2012,10,22,-0.87731338,-0.87808973,2,1.2412575
2012-10-23,2012,10,23,-0.71647,-1.3158054,2,1.4982234
2012-10-24,2012,10,24,-0.51213992,-1.2017986,2,1.3063717
2012-10-25,2012,10,25,-0.47490475,-0.86413872,2,0.98603767
2012-10-26,2012,10,26,-0.43245703,-0.54961544,2,0.69935417
2012-10-27,2012,10,27,-0.54594278,-0.74473321,2,0.92340732
2012-10-28,2012,10,28,-0.70726728,-1.0791366,2,1.290257
2012-10-29,2012,10,29,-0.58654696,-1.1069672,2,1.2527624
2012-10-30,2012,10,30,-0.35396925,-1.2913154,2,1.338951
2012-10-31,2012,10,31,-0.43849802,-0.92527229,2,1.0239186
2012-11-01,2012,11,1,-0.35922942,-0.90685177,2,0.97541064
2012-11-02,2012,11,2,0.0266868472,-1.0974561,3,1.0977805
2012-11-03,2012,11,3,0.37978914,-1.1551629,3,1.2159939
2012-11-04,2012,11,4,0.58543956,-1.0923809,3,1.2393689
2012-11-05,2012,11,5,0.47892362,-1.0247109,3,1.1311058
2012-11-06,2012,11,6,0.83053559,-0.69979787,4,1.0860509
2012-11-07,2012,11,7,0.70790952,-0.13884206,4,0.72139657
2012-11-08,2012,11,8,0.67712474,0.23380834,5,0.71635485
2012-11-09,2012,11,9,0.77415597,0.0238240678,5,0.77452248
2012-11-10,2012,11,10,0.6267128,-0.0994387567,4,0.6345526
2012-11-11,2012,11,11,0.59755391,-0.22242779,4,0.63760865
2012-11-12,2012,11,12,0.39585444,-0.15519542,4,0.42518979
2012-11-13,2012,11,13,0.35376778,-0.16074456,4,0.3885749
2012-11-14,2012,11,14,0.30609748,0.11363186,5,0.32650858
2012-11-15,2012,11,15,0.378052,0.0795447826,5,0.38632977
2012-11-16,2012,11,16,0.29659817,0.42973277,6,0.5221501
2012-11-17,2012,11,17,0.42897603,0.45148849,6,0.62278593
2012-11-18,2012,11,18,0.5428617,0.44242591,5,0.70031387
2012-11-19,2012,11,19,0.69727719,0.69817066,6,0.98673087
2012-11-20,2012,11,20,0.45260102,0.67546362,6,0.81307983
2012-11-21,2012,11,21,0.48482907,0.51770872,6,0.7092824
2012-11-22,2012,11,22,0.58368134,0.61113185,6,0.84508348
2012-11-23,2012,11,23,0.25049946,0.51593679,6,0.57353354
2012-11-24,2012,11,24,0.19264802,0.56804645,6,0.59982502
2012-11-25,2012,11,25,-0.0531770438,0.19427845,7,0.2014247
2012-11-26,2012,11,26,-0.37333414,0.0149909621,8,0.37363499
2012-11-27,2012,11,27,-0.64142954,0.0105737355,8,0.64151669
2012-11-28,2012,11,28,-0.51632494,-0.33364353,1,0.61474335
2012-11-29,2012,11,29,-0.59501314,-0.60506594,2,0.84861386
2012-11-30,2012,11,30,-0.57458025,-0.8288126,2,1.0085002
2012-12-01,2012,12,1,-0.54882705,-0.60876483,2,0.81963754
2012-12-02,2012,12,2,-0.34148842,-0.86731905,2,0.93212479
2012-12-03,2012,12,3,-0.16944315,-0.68882293,2,0.70935744
2012-12-04,2012,12,4,-0.1735507,-0.46097496,2,0.49256244
2012-12-05,2012,12,5,0.0974849313,-0.21431328,3,0.23544319
2012-12-06,2012,12,6,0.38977498,-0.45461097,3,0.59882855
2012-12-07,2012,12,7,0.30918089,-0.37170428,3,0.48348412
2012-12-08,2012,12,8,0.13747871,-0.0429481938,4,0.14403105
2012-12-09,2012,12,9,0.0524006784,0.33186463,6,0.33597612
2012-12-10,2012,12,10,-0.18741979,0.0645940155,8,0.19823866
2012-12-11,2012,12,11,-0.75308228,-0.054810904,1,0.75507426
2012-12-12,2012,12,12,-0.95960891,-0.11422348,1,0.9663831
2012-12-13,2012,12,13,-1.2299544,-0.48217466,1,1.3210905
2012-12-14,2012,12,14,-1.4027777,-0.59099108,1,1.5221878
2012-12-15,2012,12,15,-1.3866475,-0.68481553,1,1.5465328
2012-12-16,2012,12,16,-1.404866,-0.33729801,1,1.44479
